state_fips,county_fips,county_name,jurisdiction_type,jurisdiction_id,jurisdiction_name,parent_county_fips,zoning_authority_status,address_source_status,address_source_name,value_source_status,last_checked_at,notes
24,24510,Baltimore City,city,baltimore_city,Baltimore City,24510,joined,qa_passed,baltimore_realproperty,ingested,2026-06-09,Priority MD; address-health wave_0
53,53001,Adams,countywide,adams_county,Adams County,53001,not_started,not_started,watech_statewide,not_started,2026-06-09,Auto-generated countywide row; cities expand via wa_cities_seed.yaml
53,53001,Adams,county_unincorporated,adams_unincorporated,Adams County unincorporated,53001,not_started,not_started,,not_started,2026-06-09,Unincorporated zoning/address authority
53,53003,Asotin,countywide,asotin_county,Asotin County,53003,not_started,not_started,watech_statewide,not_started,2026-06-09,Auto-generated countywide row; cities expand via wa_cities_seed.yaml
53,53003,Asotin,county_unincorporated,asotin_unincorporated,Asotin County unincorporated,53003,not_started,not_started,,not_started,2026-06-09,Unincorporated zoning/address authority
53,53005,Benton,countywide,benton_county,Benton County,53005,source_found,ingested,watech_statewide,not_started,2026-06-18,Parcels ingested (~30k); zoning overlay in progress — docs/zoning-sources-benton.md
53,53005,Benton,county_unincorporated,benton_unincorporated,Benton County unincorporated,53005,source_found,not_started,,not_started,2026-06-18,Benton County Zoning MapServer/0 — LandUseTyp spatial join
53,53005,Benton,city,kennewick_city,Kennewick,53005,source_found,not_started,,not_started,2026-06-18,Kennewick Parcel Zoning FeatureServer/59 — CountyTaxID attribute join
53,53005,Benton,city,richland_city,Richland,53005,blocked,not_started,,not_started,2026-06-18,Richland REST pagination blocked; county spatial fallback interim
53,53005,Benton,city,pasco_city,Pasco,53005,source_found,not_started,,not_started,2026-06-18,Pasco Zoning FeatureServer — Zone spatial join
53,53005,Benton,city,west_richland_city,West Richland,53005,source_found,not_started,,not_started,2026-06-18,Uses Benton County + Richland zoning sources via situs routing
53,53007,Chelan,countywide,chelan_county,Chelan County,53007,not_started,not_started,watech_statewide,not_started,2026-06-09,Auto-generated countywide row; cities expand via wa_cities_seed.yaml
53,53007,Chelan,county_unincorporated,chelan_unincorporated,Chelan County unincorporated,53007,not_started,not_started,,not_started,2026-06-09,Unincorporated zoning/address authority
53,53009,Clallam,countywide,clallam_county,Clallam County,53009,not_started,not_started,watech_statewide,not_started,2026-06-09,Auto-generated countywide row; cities expand via wa_cities_seed.yaml
53,53009,Clallam,county_unincorporated,clallam_unincorporated,Clallam County unincorporated,53009,not_started,not_started,,not_started,2026-06-09,Unincorporated zoning/address authority
53,53011,Clark,countywide,clark_county,Clark County,53011,not_started,not_started,watech_statewide,not_started,2026-06-09,Auto-generated countywide row; cities expand via wa_cities_seed.yaml
53,53011,Clark,county_unincorporated,clark_unincorporated,Clark County unincorporated,53011,not_started,not_started,,not_started,2026-06-09,Unincorporated zoning/address authority
53,53011,Clark,city,vancouver_city,Vancouver,53011,not_started,not_started,,not_started,2026-06-09,City address source TBD — add to source_catalog when GIS found
53,53013,Columbia,countywide,columbia_county,Columbia County,53013,not_started,not_started,watech_statewide,not_started,2026-06-09,Auto-generated countywide row; cities expand via wa_cities_seed.yaml
53,53013,Columbia,county_unincorporated,columbia_unincorporated,Columbia County unincorporated,53013,not_started,not_started,,not_started,2026-06-09,Unincorporated zoning/address authority
53,53015,Cowlitz,countywide,cowlitz_county,Cowlitz County,53015,not_started,not_started,watech_statewide,not_started,2026-06-09,Auto-generated countywide row; cities expand via wa_cities_seed.yaml
53,53015,Cowlitz,county_unincorporated,cowlitz_unincorporated,Cowlitz County unincorporated,53015,not_started,not_started,,not_started,2026-06-09,Unincorporated zoning/address authority
53,53017,Douglas,countywide,douglas_county,Douglas County,53017,not_started,not_started,watech_statewide,not_started,2026-06-09,Auto-generated countywide row; cities expand via wa_cities_seed.yaml
53,53017,Douglas,county_unincorporated,douglas_unincorporated,Douglas County unincorporated,53017,not_started,not_started,,not_started,2026-06-09,Unincorporated zoning/address authority
53,53019,Ferry,countywide,ferry_county,Ferry County,53019,not_started,not_started,watech_statewide,not_started,2026-06-09,Auto-generated countywide row; cities expand via wa_cities_seed.yaml
53,53019,Ferry,county_unincorporated,ferry_unincorporated,Ferry County unincorporated,53019,not_started,not_started,,not_started,2026-06-09,Unincorporated zoning/address authority
53,53021,Franklin,countywide,franklin_county,Franklin County,53021,not_started,not_started,watech_statewide,not_started,2026-06-09,Auto-generated countywide row; cities expand via wa_cities_seed.yaml
53,53021,Franklin,county_unincorporated,franklin_unincorporated,Franklin County unincorporated,53021,not_started,not_started,,not_started,2026-06-09,Unincorporated zoning/address authority
53,53023,Garfield,countywide,garfield_county,Garfield County,53023,not_started,not_started,watech_statewide,not_started,2026-06-09,Auto-generated countywide row; cities expand via wa_cities_seed.yaml
53,53023,Garfield,county_unincorporated,garfield_unincorporated,Garfield County unincorporated,53023,not_started,not_started,,not_started,2026-06-09,Unincorporated zoning/address authority
53,53025,Grant,countywide,grant_county,Grant County,53025,not_started,not_started,watech_statewide,not_started,2026-06-09,Auto-generated countywide row; cities expand via wa_cities_seed.yaml
53,53025,Grant,county_unincorporated,grant_unincorporated,Grant County unincorporated,53025,not_started,not_started,,not_started,2026-06-09,Unincorporated zoning/address authority
53,53027,Grays Harbor,countywide,grays_harbor_county,Grays Harbor County,53027,not_started,not_started,watech_statewide,not_started,2026-06-09,Auto-generated countywide row; cities expand via wa_cities_seed.yaml
53,53027,Grays Harbor,county_unincorporated,grays_harbor_unincorporated,Grays Harbor County unincorporated,53027,not_started,not_started,,not_started,2026-06-09,Unincorporated zoning/address authority
53,53029,Island,countywide,island_county,Island County,53029,not_started,not_started,watech_statewide,not_started,2026-06-09,Auto-generated countywide row; cities expand via wa_cities_seed.yaml
53,53029,Island,county_unincorporated,island_unincorporated,Island County unincorporated,53029,not_started,not_started,,not_started,2026-06-09,Unincorporated zoning/address authority
